time,value
2/9/2024 0:00,150.08
2/9/2024 0:15,258.56
2/9/2024 0:30,149.92
2/9/2024 0:45,180.16
2/9/2024 1:00,148.72
2/9/2024 1:15,198.08
2/9/2024 1:30,149.12
2/9/2024 1:45,196.24
2/9/2024 2:00,149.36
2/9/2024 2:15,249.12
2/9/2024 2:30,154.16
2/9/2024 2:45,186.72
2/9/2024 3:00,149.68
2/9/2024 3:15,233.92
2/9/2024 3:30,150.88
2/9/2024 3:45,191.44
2/9/2024 4:00,150.96
2/9/2024 4:15,149.68
2/9/2024 4:30,169.2
2/9/2024 4:45,175.44
2/9/2024 5:00,150.24
2/9/2024 5:15,260.4
2/9/2024 5:30,153.2
2/9/2024 5:45,174
2/9/2024 6:00,149.6
2/9/2024 6:15,151.28
2/9/2024 6:30,160.48
2/9/2024 6:45,195.84
2/9/2024 7:00,149.68
2/9/2024 7:15,151.28
2/9/2024 7:30,173.84
2/9/2024 7:45,192.72
2/9/2024 8:00,153.52
2/9/2024 8:15,256.64
2/9/2024 8:30,153.68
2/9/2024 8:45,200.24
2/9/2024 9:00,151.12
2/9/2024 9:15,173.04
2/9/2024 9:30,156.72
2/9/2024 9:45,198.88
2/9/2024 10:00,152.08
2/9/2024 10:15,193.44
2/9/2024 10:30,152.24
2/9/2024 10:45,198.88
2/9/2024 11:00,151.76
2/9/2024 11:15,263.2
2/9/2024 11:30,154.72
2/9/2024 11:45,189.2
2/9/2024 12:00,153.68
2/9/2024 12:15,247.52
2/9/2024 12:30,153.92
2/9/2024 12:45,176.8
2/9/2024 13:00,153.76
2/9/2024 13:15,268.32
2/9/2024 13:30,152.56
2/9/2024 13:45,183.44
2/9/2024 14:00,152.56
2/9/2024 14:15,263.6
2/9/2024 14:30,151.12
2/9/2024 14:45,196.48
2/9/2024 15:00,154.4
2/9/2024 15:15,268.24
2/9/2024 15:30,153.28
2/9/2024 15:45,197.28
2/9/2024 16:00,158.8
2/9/2024 16:15,161.28
2/9/2024 16:30,171.2
2/9/2024 16:45,196.8
2/9/2024 17:00,158.32
2/9/2024 17:15,221.36
2/9/2024 17:30,151.28
2/9/2024 17:45,154.32
2/9/2024 18:00,152.72
2/9/2024 18:15,153.6
2/9/2024 18:30,151.36
2/9/2024 18:45,153.76
2/9/2024 19:00,153.76
2/9/2024 19:15,263.44
2/9/2024 19:30,155.2
2/9/2024 19:45,177.52
2/9/2024 20:00,152.96
2/9/2024 20:15,167.6
2/9/2024 20:30,156.88
2/9/2024 20:45,198.48
2/9/2024 21:00,155.36
2/9/2024 21:15,222.48
2/9/2024 21:30,153.84
2/9/2024 21:45,157.04
2/9/2024 22:00,157.04
2/9/2024 22:15,192.96
2/9/2024 22:30,155.44
2/9/2024 22:45,153.44
2/9/2024 23:00,155.68
2/9/2024 23:15,198.08
2/9/2024 23:30,158.24
2/9/2024 23:45,167.92
3/9/2024 0:00,156.32
3/9/2024 0:15,160.48
3/9/2024 0:30,160.48
3/9/2024 0:45,173.6
3/9/2024 1:00,159.2
3/9/2024 1:15,161.92
3/9/2024 1:30,161.76
3/9/2024 1:45,163.28
3/9/2024 2:00,161.36
3/9/2024 2:15,160.24
3/9/2024 2:30,163.84
3/9/2024 2:45,170.72
3/9/2024 3:00,167.04
3/9/2024 3:15,193.36
3/9/2024 3:30,168
3/9/2024 3:45,174.8
3/9/2024 4:00,167.68
3/9/2024 4:15,198.32
3/9/2024 4:30,167.36
3/9/2024 4:45,165.6
3/9/2024 5:00,165.04
3/9/2024 5:15,166.08
3/9/2024 5:30,163.04
3/9/2024 5:45,165.36
3/9/2024 6:00,163.92
3/9/2024 6:15,163.52
3/9/2024 6:30,161.28
3/9/2024 6:45,162.8
3/9/2024 7:00,164.24
3/9/2024 7:15,162
3/9/2024 7:30,163.76
3/9/2024 7:45,165.36
3/9/2024 8:00,162.32
3/9/2024 8:15,162.88
3/9/2024 8:30,160
3/9/2024 8:45,160.48
3/9/2024 9:00,163.52
3/9/2024 9:15,165.2
3/9/2024 9:30,160.4
3/9/2024 9:45,169.92
3/9/2024 10:00,161.12
3/9/2024 10:15,158.8
3/9/2024 10:30,162.48
3/9/2024 10:45,163.04
3/9/2024 11:00,159.28
3/9/2024 11:15,186.96
3/9/2024 11:30,157.68
3/9/2024 11:45,160.08
3/9/2024 12:00,161.52
3/9/2024 12:15,160.8
3/9/2024 12:30,160.64
3/9/2024 12:45,158.8
3/9/2024 13:00,159.44
3/9/2024 13:15,159.28
3/9/2024 13:30,160.64
3/9/2024 13:45,161.76
3/9/2024 14:00,159.12
3/9/2024 14:15,166.56
3/9/2024 14:30,161.28
3/9/2024 14:45,161.12
3/9/2024 15:00,162.24
3/9/2024 15:15,212.16
3/9/2024 15:30,157.52
3/9/2024 15:45,161.28
3/9/2024 16:00,156.4
3/9/2024 16:15,160.8
3/9/2024 16:30,158.88
3/9/2024 16:45,168.88
3/9/2024 17:00,159.04
3/9/2024 17:15,163.76
3/9/2024 17:30,166.96
3/9/2024 17:45,185.12
3/9/2024 18:00,167.2
3/9/2024 18:15,183.12
3/9/2024 18:30,160.32
